district_name,demand_total,mean_time_min,p50_time_min,p90_time_min,share_5min,share_10min,share_15min
Выхино-Жулебино,13147253.173166133,103.7011372022626,106.02739345254722,117.96672062741337,0.0,0.0,0.0
Некрасовка,9123798.232896976,189.14706826010342,189.2553283543517,203.6242589618958,0.0,0.0,0.0
Орехово-Борисово Северное,5671042.87373218,60.411185785554885,58.979523784565366,71.53820087168748,0.0,0.0,0.0
Лефортово,7495982.306869528,164.47965848458344,164.84340559905823,173.67702533441056,0.0,0.0,0.0
Тропарёво-Никулино,11999822.092479693,16.803839750221858,16.94829000961932,26.637900119379992,0.0568778163512604,0.24674051259632934,0.3979586775154537
Северный,3880793.995346405,82.77837611590638,80.90515293220915,99.68425755101589,0.0,0.0,0.0
Южное Бутово,17144547.19693538,31.44357030203596,24.341641487082875,90.42137433720823,0.0741749466181234,0.1807753136859205,0.29735599875840324
Нижегородский,3756819.1469416907,123.55455742018547,126.2517977005854,132.46961651673615,0.0,0.0,0.0
Ярославский,5629198.323287386,85.52730887688875,84.327479868532,101.61100422065932,0.0,0.0,0.0
Западное Дегунино,7882770.000290533,22.76063150030844,21.469946337224492,33.79190727226644,0.0,0.026660467062092238,0.09393895615597112
Солнцево,10063190.635127146,74.24414491805322,72.92673356734244,91.02764900663027,0.0,0.0,0.0
Крюково,8138322.808872311,1.6125540292343166,0.0,11.778495794137191,0.8630933815812905,0.8630933815812905,1.0
Можайский,11142697.468368609,95.19426737224887,94.97223334350399,115.1603870000776,0.0,0.0,0.0
Куркино,3327260.0874556736,88.03659112965396,88.12777905382633,101.55745911969078,0.0,0.0,0.0
Строгино,8191019.879891642,82.74753754547335,85.85007622141883,95.66627138955263,0.0,0.0,0.0
Матушкино,3157680.02698865,0.0,0.0,0.0,1.0,1.0,1.0
Левобережный,5485637.354751995,12.25002568731187,11.9694845701635,19.48688118633133,0.10255387288270756,0.41146751739813653,0.6344794470846382
Молжаниновский,2125303.7069918616,57.94401681487874,48.75683610372836,84.76402530876967,0.0,0.0,0.0
Филимонковское,1695097.8267875507,178.72883838436815,175.54455972589793,201.15673367397326,0.0,0.0,0.0
Савёлки,2886057.782554071,0.0,0.0,0.0,1.0,1.0,1.0
Сосенское,19627538.223976653,47.46225685115964,40.891397726150565,93.29702438828457,0.028383746020583,0.15083456181536822,0.20041697829567162
Очаково-Матвеевское,11414247.711510861,42.033867174218656,41.73374147819069,50.27634666070863,0.0,0.0,0.0
Царицыно,6168053.286509664,46.78935384435796,46.820261143201336,58.210687255171784,0.0,0.0,0.0
Орехово-Борисово Южное,8226950.034122039,75.5462921943968,77.87093836689353,86.90851386876824,0.0,0.0,0.0
