district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share
64,Щербинка,7.610780791651026,0,0.0,1,0.13139256370344987,965.1667958418261,1897,249.2516933454444,3,0.0
65,Аэропорт,4.663773413797046,7,1.5009305510622775,23,4.931628953490341,478.10019751775326,325,69.68606129932003,6,0.0
66,Пресненский,11.639510311810396,5,0.4295713364269795,37,3.178827889559648,382.32206696266394,814,69.93421357031225,3,0.0413879546361051
67,Северный,10.526027513912489,1,0.095002601758192,5,0.47501300879096003,1146.4517200806306,439,41.70614217184629,0,0.009425086435456443
68,Бескудниковский,3.2768149359588548,0,0.0,11,3.3569182926045236,340.9156166039449,170,51.879646340251725,0,0.0
69,Гагаринский,5.5375764282404765,2,0.3611688300680457,12,2.1670129804082743,1164.7212259330142,166,29.977012895647793,0,0.0
70,Тимирязевский,10.506610180609256,15,1.4276726500887638,19,1.8083853567791006,1238.6112055922408,315,29.981125651864037,6,1.3175240113311004e-05
71,Северное Бутово,8.866600369923438,8,0.9022623853824461,12,1.3533935780736692,309.8172351069681,169,19.060292891204174,0,0.002314286964085993
72,Лианозово,5.64414561196196,0,0.0,10,1.7717473445062135,1139.19575582058,400,70.86989378024853,0,0.0
73,Хамовники,10.071522914101434,2,0.19857970011662698,25,2.482246251457837,328.410379885481,637,63.247634487145696,4,0.0006660887544322173
74,Восточное Дегунино,3.892506214296825,2,0.5138077860105091,3,0.7707116790157637,640.9083479971015,163,41.87533455985649,0,0.0
75,Савёловский,2.641608191838074,13,4.9212445812996926,4,1.514229101938367,1027.4870651440121,258,97.66777707502466,0,0.0
76,Академический,5.705862734491396,5,0.8762916727343398,18,3.1546500218436235,182.80892030765037,370,64.84558378234115,6,0.0
77,Зюзино,5.3962782676341154,4,0.7412516185444447,26,4.81813552053889,434.5024624402009,396,73.38391023590002,3,0.0
78,Алтуфьевский,3.2939271460853163,0,0.0,1,0.30358898532059364,1032.8893345226802,124,37.64503417975361,0,0.0
79,Марфино,2.10246981305616,0,0.0,4,1.9025243431131986,842.2034090194102,150,71.34466286674494,0,7.691471753965408e-05
80,Чертаново Центральное,6.869188555626725,2,0.29115520469470146,16,2.3292416375576117,35.05576948369727,184,26.786278831912536,0,0.0012304420038538424
81,Отрадное,10.049051565610231,2,0.19902375731102634,14,1.3931663011771844,159.17107912434838,317,31.545265533797675,1,0.0
82,Арбат,2.0828801476179692,0,0.0,18,8.64187986072325,527.8948665406936,206,98.90151396161053,0,0.0
83,Чертаново Южное,9.146118232646774,0,0.0,17,1.8587120314407317,290.8452595560684,253,27.662008467912067,0,0.0
84,Бутырский,5.029542466550399,11,2.1870776662403935,20,3.9765048477098066,710.3227471398011,210,41.753300900952965,2,0.0
85,Тверской,7.306546531632285,6,0.8211813849435101,76,10.401630875951128,470.0736084248524,501,68.5686456427831,2,3.387695455226834e-05
86,Чертаново Северное,6.207807694767686,0,0.0,13,2.094137035036891,885.9210163996988,163,26.257256670077943,0,0.0
87,Якиманка,4.802965764563788,1,0.2082046903973344,11,2.2902515943706785,156.81848644532172,180,37.47684427152019,0,0.0
88,Котловка,3.992479013671631,2,0.5009418942845554,0,0.0,890.2581145573249,250,62.61773678556942,0,0.0
89,Останкинский,12.507797345528493,1,0.07995012809809375,4,0.319800512392375,1625.6745224656488,202,16.149925875814937,1,0.0023771056796310142
90,Донской,5.690126162999236,1,0.17574302772100667,12,2.10891633265208,984.9724010668871,197,34.62137646103832,7,0.03668432211040826
91,Бибирево,6.4139995685058615,2,0.3118179193245408,12,1.8709075159472446,1228.1753672764985,212,33.05269944840132,2,0.0021312274242218984
92,Бирюлёво Западное,8.476731101616236,0,0.0,2,0.2359400075364742,1217.0860759015752,132,15.572040497407297,4,0.009695958769091441
93,Марьина Роща,4.681485089945867,6,1.2816445817345066,17,3.6313263149144355,313.84026077288684,225,48.061671815044,6,0.007376280124340324
94,Нагорный,5.293359474221265,2,0.3778318872428801,18,3.400486985185921,545.9044894276999,252,47.6068177926029,0,0.0
95,Свиблово,4.439463256246345,3,0.675757366789552,13,2.928281922754725,356.8041498933598,175,39.41917972939053,1,0.0
96,Даниловский,12.497491179153583,12,0.9601927161202224,28,2.2404496709471857,849.571876750424,429,34.32688960129795,2,5.523113152953931e-05
97,Мещанский,4.516035997431129,8,1.7714650646165497,23,5.092962060772581,191.94849924206676,349,77.28016344389698,0,0.0
98,Южное Медведково,3.885151618791476,2,0.5147804246111055,0,0.0,1516.84047764867,176,45.30067736577729,0,0.0030236690656510763
99,Замоскворечье,4.2792986979790495,2,0.4673663002174922,19,4.439979852066176,277.0378165466995,328,76.64807323566872,0,0.0
100,Северное Медведково,5.6944604010617645,13,2.282920432210939,4,0.7024370560649043,404.8472375861671,237,41.61939557184558,1,0.0
101,Нагатино-Садовники,7.7431765999991296,0,0.0,10,1.2914596316970381,1398.9344941729353,212,27.378944191977208,0,0.0
102,Москворечье-Сабурово,10.052958894640073,1,0.09947320092327933,6,0.596839205539676,1097.41740856512,168,16.711497755110926,1,0.0
103,Царицыно,8.282006659330793,4,0.48297473843412847,16,1.9318989537365139,849.0153659685936,352,42.5017769822033,0,0.0441631913678367
