district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,delta_share_10min,delta_share_15min,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min
Соколиная Гора,5612142.264979302,0.0,0.0,73.84022870705527,74.87064009097975,88.69171004743582,5612142.264979302,0.0,0.0,41.88831209831011,40.71744791106008,58.65429176745676,0.0,0.0,-31.951916608745165,-34.15319217991967,-30.037418279979057
Хорошёвский,8705399.698859362,0.0,0.0,135.27799191725842,139.30282869277127,145.5366883176426,8705399.698859362,0.0,0.0673833691837448,32.37234602328026,34.95794899032807,40.9214719316165,0.0,0.0673833691837448,-102.90564589397816,-104.3448797024432,-104.61521638602608
Таганский,10257600.0496048,0.0,0.0,142.92551254070625,143.64461614359035,148.58245048840914,10257600.0496048,0.252259546241896,0.5063354445999739,14.914187598252242,14.676453046926321,24.915977812352512,0.252259546241896,0.5063354445999739,-128.011324942454,-128.96816309666403,-123.66647267605663
Отрадное,12742071.675342137,0.13511826567032667,0.24450418563859724,22.755481326187184,24.413483705237645,34.647907391057295,12742071.675342137,0.18383263179947446,0.27668128352364996,22.199868693835015,21.379378893657172,36.31320093897841,0.048714366129147785,0.03217709788505271,-0.5556126323521688,-3.034104811580473,1.6652935479211166
Щербинка,4490664.236838415,0.0,0.0,83.50141911907946,82.25967508781609,93.22016395003044,4490664.236838415,0.0,0.0,180.00000000000003,180.0,180.0,0.0,0.0,96.49858088092057,97.74032491218391,86.77983604996956
Котловка,3801777.0266051125,0.0,0.0,46.01991208246432,48.281661744848506,56.99969638108927,3801777.0266051125,0.0,0.0,53.630513928323644,55.03034858079389,60.547825834806865,0.0,0.0,7.610601845859321,6.748686835945385,3.5481294537175927
Зябликово,5824778.143054005,0.0,0.0,64.719666572001,66.45078356448168,74.35039483044838,5824778.143054005,0.0,0.0,113.58687335619919,115.31799034867996,123.2176016146466,0.0,0.0,48.86720678419819,48.867206784198274,48.86720678419822
Косино-Ухтомский,4900433.958094571,0.0,0.0,42.20427664349219,38.93428098337681,62.6092006991793,4900433.958094571,0.0,0.0,86.24201192082501,88.85833951790674,96.04258404335108,0.0,0.0,44.037735277332814,49.924058534529934,33.43338334417179
Коньково,10215091.529898692,0.27856221799981684,0.4974498633739296,15.556355201118222,15.009149445017805,27.43283448171557,10215091.529898692,0.0,0.0,62.30646802978636,61.804008687079055,74.75936145055101,-0.27856221799981684,-0.4974498633739296,46.750112828668136,46.79485924206125,47.32652696883544
Ростокино,3500176.5143277277,0.0,0.0,49.93785237857337,52.33038542672922,59.97527164957639,3500176.5143277277,0.0,0.0,44.58915522826112,42.79558095444922,53.88690008352281,0.0,0.0,-5.348697150312248,-9.534804472280001,-6.088371566053581
Хорошёво-Мнёвники,17266518.712499056,0.0,0.0,136.5328800803069,138.87603737599446,146.39639803446107,17266518.712499056,0.04793060843340381,0.07486774777072358,41.14884475099617,42.94079289093785,55.616768463644,0.04793060843340381,0.07486774777072358,-95.38403532931073,-95.93524448505661,-90.77962957081706
Новокосино,5677237.475962934,0.0,0.0,83.32813217670838,84.10616900572735,88.9986151110367,5677237.475962934,0.0,0.0,46.64345303145397,45.47754036481444,55.226983728176315,0.0,0.0,-36.68467914525441,-38.628628640912915,-33.771631382860384
Фили-Давыдково,7445195.88291147,0.0,0.0,69.03886934807511,68.07426509934959,82.1197981079034,7445195.88291147,0.044242226050297526,0.08713220795777032,29.075375507759638,29.957128175353645,40.627080235450336,0.044242226050297526,0.08713220795777032,-39.96349384031547,-38.11713692399594,-41.49271787245307
Алтуфьевский,3552550.41777101,0.0,0.0,42.35010541652721,40.68211483333316,51.94009734625387,3552550.41777101,0.10387916595444355,0.1404348379619875,21.971715679201637,22.922569679242564,28.621087945611414,0.10387916595444355,0.1404348379619875,-20.37838973732557,-17.759545154090596,-23.319009400642457
Рязанский,8690640.478264323,0.0,0.0,103.64169852008699,105.73713900740131,116.18001260249183,8690640.478264323,0.02148408720482527,0.15573762978427566,34.24773836157548,37.310419371281384,53.115749680879986,0.02148408720482527,0.15573762978427566,-69.3939601585115,-68.42671963611993,-63.06426292161184
